图片,价格,地址,说明
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1790 (每月),"紫藤新园4居室-南卧紫藤新园4居室-南卧,[闵行老闵行] 5号线华宁路,23.9 ㎡ | 06/6层| 4室1厅 合 距离5号线华宁路站371米 有2间空房",23.9 ㎡ | 06/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1660 (每月),"紫藤新园4居室-南卧紫藤新园4居室-南卧,[闵行老闵行] 5号线华宁路,20.8 ㎡ | 06/6层| 4室1厅 合 距离5号线华宁路站371米 有2间空房",20.8 ㎡ | 06/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"金地自在城（二期）5居室-南卧金地自在城（二期）5居室-南卧,[松江泗泾] 9号线泗泾,20.6 ㎡ | 06/18层| 5室1厅 合 距离9号线泗泾站1165米",20.6 ㎡ | 06/18层| 5室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"和祥佳园2居室-南卧和祥佳园2居室-南卧,[浦东外高桥] 6号线港城路,9.35 ㎡ | 06/11层| 2室1厅 合 距离6号线港城路站451米 有2间空房",9.35 ㎡ | 06/11层| 2室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 2060 (每月),"妙境家园4居室-南卧妙境家园4居室-南卧,[浦东川沙] 2号线川沙,21 ㎡ | 01/6层| 4室1厅 合 距离2号线川沙站116米 有2间空房",21 ㎡ | 01/6层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1960 (每月),"金铭福邸4居室-南卧金铭福邸4居室-南卧,[闵行老闵行] 5号线金平路,16.5 ㎡ | 07/10层| 4室1厅 合 距离5号线金平路站102米 有2间空房",16.5 ㎡ | 07/10层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1930 (每月),"荣域飘鹰锦和花园（公寓）3居室-南卧荣域飘鹰锦和花园（公寓）3居室-南卧,[宝山杨行] 1号线宝安公路,11.7 ㎡ | 10/18层| 3室1厅 合 距离1号线宝安公路站180米",11.7 ㎡ | 10/18层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"金地自在城（二期）5居室-南卧金地自在城（二期）5居室-南卧,[松江泗泾] 9号线泗泾,15.7 ㎡ | 02/12层| 5室1厅 合 距离9号线泗泾站1165米 有2间空房",15.7 ㎡ | 02/12层| 5室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"百鸟苑4居室-南卧百鸟苑4居室-南卧,[松江泗泾] 9号线洞泾,16 ㎡ | 04/16层| 4室1厅 合 距离9号线洞泾站703米",16 ㎡ | 04/16层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1830 (每月),"金铭福邸4居室-南卧金铭福邸4居室-南卧,[闵行老闵行] 5号线金平路,13.6 ㎡ | 07/10层| 4室1厅 合 距离5号线金平路站102米 有2间空房",13.6 ㎡ | 07/10层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1890 (每月),"滨浦新苑三村4居室-南卧滨浦新苑三村4居室-南卧,[闵行浦江] 8号线沈杜公路,21 ㎡ | 09/11层| 4室1厅 合 距离8号线沈杜公路站1038米 有2间空房",21 ㎡ | 09/11层| 4室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1790 (每月),"剑桥丽苑3居室-南卧剑桥丽苑3居室-南卧,[闵行老闵行] 5号线剑川路,16.2 ㎡ | 04/6层| 3室1厅 合 距离5号线剑川路站508米",16.2 ㎡ | 04/6层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1990 (每月),"金地褐石苑3居室-南卧金地褐石苑3居室-南卧,[松江泗泾] 9号线泗泾,12.3 ㎡ | 09/11层| 3室1厅 合 距离9号线泗泾站682米 有2间空房",12.3 ㎡ | 09/11层| 3室1厅 合
//static8.ziroom.com/phoenix/pc/images/list/loading.jpg,￥ 1760 (每月),"金地自在城（二期）7居室-南卧金地自在城（二期）7居室-南卧,[松江泗泾] 9号线泗泾,14.8 ㎡ | 10/17层| 7室1厅 合 距离9号线泗泾站1165米 有2间空房",14.8 ㎡ | 10/17层| 7室1厅 合
